full_name,first_name,middle_names,last_name,date_of_birth,age_at_offense,date_of_death,location,last_known_full_address,crime,flat_or_suite,unit_or_box,house_number,street,city,state,zip_code
Johnathan Smith,Johnathan,,Smith,14/05/1823,32,20/11/1885,London,"221B Baker Street, London",Burglary,,,221B,Baker Street,London,,
Margaret O'Connor,Margaret,,O'Connor,22/08/1845,28,15/03/1902,Dublin,"15 Merrion Square, Dublin",Forgery,,,15,Merrion Square,Dublin,,
Thomas Hardy,Thomas,,Hardy,09/12/1801,45,10/07/1870,Edinburgh,"43 George Street, Edinburgh",Highway Robbery,,,43,George Street,Edinburgh,,
Elizabeth Blackwell,Elizabeth,,Blackwell,01/03/1830,40,25/09/1895,Manchester,"78 King Street, Manchester",Pickpocketing,,,78,King Street,Manchester,,
William Turner,William,,Turner,30/11/1852,25,05/01/1910,Birmingham,"10 Downing Street, Birmingham",Smuggling,,,10,Downing Street,Birmingham,,
Catherine Johnson,Catherine,,Johnson,17/07/1819,30,12/04/1880,Glasgow,"5 Argyle Street, Glasgow",Assault,,,5,Argyle Street,Glasgow,,
George Williams,George,,Williams,28/02/1860,22,18/06/1920,Liverpool,"32 Penny Lane, Liverpool",Counterfeiting,,,32,Penny Lane,Liverpool,,
Mary Brown,Mary,,Brown,05/10/1825,35,30/08/1890,Bristol,"14 Queen Square, Bristol",Arson,,,14,Queen Square,Bristol,,
James Wilson,James,,Wilson,12/04/1840,27,22/12/1905,Leeds,"9 Briggate, Leeds",Murder,,,9,Briggate,Leeds,,
Anne Thompson,Anne,,Thompson,23/09/1855,29,11/11/1915,Sheffield,"21 Fargate, Sheffield",Theft,,,21,Fargate,Sheffield,,
Olivia May,Olivia,,May,25/07/1984,50,05/09/1985,West Jonshire,"29845 Hodges Pine Apt. 143, East Craig, NV 82937",Arson,Apartment 143,,29845,Hodges Pine,East Craig,NV,82937
Brett Mcintosh,Brett,,Mcintosh,09/11/1973,22,06/07/2025,North Maria,"6603 Jessica Falls Suite 611, Morristown, DE 84720",Smuggling,Suite 611,,6603,Jessica Falls,Morristown,DE,84720
Richard Decker,Richard,,Decker,01/08/1974,51,05/02/2029,Lake Brandon,"0935 Kennedy Center, Jacksonport, MN 56652",Theft,,,0935,Kennedy Center,Jacksonport,MN,56652
Christopher Martin,Christopher,,Martin,18/11/1966,25,02/04/2000,Jessicaville,"756 Anderson Underpass Apt. 437, Herbertfurt, IA 29888",Pickpocketing,Apartment 437,,756,Anderson Underpass,Herbertfurt,IA,29888
Kirk Aguilar,Kirk,,Aguilar,28/08/1994,40,28/07/2039,Courtneyside,"71105 Joyce Lodge Suite 073, Coleside, TX 95425",Burglary,Suite 073,,71105,Joyce Lodge,Coleside,TX,95425
Vanessa Mendoza,Vanessa,,Mendoza,02/08/2004,50,29/07/2015,Waynefort,"582 Gonzalez Forge Suite 611, Connormouth, KS 79601",Assault,Suite 611,,582,Gonzalez Forge,Connormouth,KS,79601
Kevin Kramer II,Kevin,Kramer,II,04/10/1964,54,01/01/2020,Lake Scottton,"559 Nelson Hills Apt. 989, Kimport, VA 90411",Arson,Apartment 989,,559,Nelson Hills,Kimport,VA,90411
Brandy Perkins,Brandy,,Perkins,26/06/1991,34,22/03/2022,South Helen,"4880 Sarah Plain Apt. 634, East Javierfort, OH 73331",Assault,Apartment 634,,4880,Sarah Plain,East Javierfort,OH,73331
Mrs. Julie Davis,Mrs.,Julie,Davis,23/04/1980,49,01/09/2000,Port Cynthia,"Unit 3731 Box 3503, DPO AE 89458",Assault,,Unit 3731 Box 3503,,,DPO AE 89458,,
Latoya Russo,Latoya,,Russo,07/02/1970,38,16/07/2002,Port Lindseyfurt,"USCGC George, FPO AA 12172",Theft,,,,USCGC George,FPO AA 12172,,
Stephen Andrews,Stephen,,Andrews,16/08/1984,55,15/05/1985,East Joseph,"44131 Davis Ports Suite 301, Davenportstad, DE 88880",Theft,Suite 301,,44131,Davis Ports,Davenportstad,DE,88880
Laura Thompson,Laura,,Thompson,28/01/1988,48,29/09/2041,New Coryland,"0262 Tammy Tunnel, New Raymond, OR 69110",Pickpocketing,,,0262,Tammy Tunnel,New Raymond,OR,69110
Jeffrey Mathis,Jeffrey,,Mathis,11/11/1966,22,30/04/2072,New Rachelhaven,"604 Miller Squares, Lake Mitchell, OH 27938",Theft,,,604,Miller Squares,Lake Mitchell,OH,27938
Catherine Klein,Catherine,,Klein,28/04/1998,46,26/07/2007,Harrisonhaven,"6242 Nicole Pike, Jamesview, LA 34252",Arson,,,6242,Nicole Pike,Jamesview,LA,34252
John Torres,John,,Torres,04/03/1978,53,18/03/2045,New David,"72497 Nelson Club, Lake Michelleville, MN 72352",Burglary,,,72497,Nelson Club,Lake Michelleville,MN,72352
Michael Duffy,Michael,,Duffy,24/07/1970,59,30/08/1973,Jeffton,"1960 Misty Roads Apt. 546, Marioberg, MD 65967",Arson,Apartment 546,,1960,Misty Roads,Marioberg,MD,65967
Rhonda Brown,Rhonda,,Brown,23/03/1971,24,26/08/1985,Jameshaven,"89796 Bowers Garden, Fernandoland, RI 84177",Burglary,,,89796,Bowers Garden,Fernandoland,RI,84177
Carol Sanchez,Carol,,Sanchez,23/08/1965,59,04/02/2033,Lake Jamieton,"27270 Rebekah Ranch Apt. 313, Port Lindastad, NV 66765",Highway Robbery,Apartment 313,,27270,Rebekah Ranch,Port Lindastad,NV,66765
Phillip Taylor,Phillip,,Taylor,11/02/1998,25,04/04/2025,Theresaland,"2864 Michael Meadows Suite 882, New Stephanie, CO 10553",Arson,Suite 882,,2864,Michael Meadows,New Stephanie,CO,10553
Carrie Gallagher,Carrie,,Gallagher,18/12/1993,28,07/10/2000,North Cheryl,"47680 Black Route, Lake Matthew, NY 81641",Pickpocketing,,,47680,Black Route,Lake Matthew,NY,81641
Monique Strickland,Monique,,Strickland,20/11/2001,44,14/08/2002,Port Gregoryfort,"PSC 2558, Box 9810, APO AE 79502",Pickpocketing,,,,PSC 2558,Box 9810,,
Karen Henderson,Karen,,Henderson,27/08/1978,31,12/10/1979,South Michael,"025 Johnson Expressway, Bakerport, GA 24594",Burglary,,,025,Johnson Expressway,Bakerport,GA,24594
Mark Burch,Mark,,Burch,06/02/1974,52,27/11/1984,Dustinburgh,"051 Scott Oval, Port Haroldchester, SD 17166",Assault,,,051,Scott Oval,Port Haroldchester,SD,17166
David Campbell,David,,Campbell,12/07/1987,33,25/09/2014,Williamsmouth,"07010 Lopez Views Apt. 613, East Albert, RI 49061",Forgery,Apartment 613,,07010,Lopez Views,East Albert,RI,49061
Shane Mack,Shane,,Mack,19/12/1982,25,07/03/1997,Angelaside,"5695 Michael Summit Apt. 858, Anthonychester, WA 85673",Arson,Apartment 858,,5695,Michael Summit,Anthonychester,WA,85673
Daniel Jones,Daniel,,Jones,13/01/2003,23,26/06/2030,Sparksberg,"1629 Montgomery Branch, North Christopher, PA 76436",Burglary,,,1629,Montgomery Branch,North Christopher,PA,76436
Cameron White,Cameron,,White,06/05/1965,57,24/03/2005,North Stacyland,"Unit 1257 Box 4660, DPO AA 47476",Assault,,Unit 1257 Box 4660,,,DPO AA 47476,,
James Morrison,James,,Morrison,18/07/1991,48,22/04/1992,North Kimberlyville,"26964 Espinoza Spurs Suite 901, West Jennifershire, ND 27149",Burglary,Suite 901,,26964,Espinoza Spurs,West Jennifershire,ND,27149
Walter Miller,Walter,,Miller,30/03/1998,32,16/12/2022,Gutierrezberg,"78844 Amanda Wall Apt. 109, Glentown, MT 21555",Highway Robbery,Apartment 109,,78844,Amanda Wall,Glentown,MT,21555
Christine Harvey,Christine,,Harvey,30/10/1975,20,03/12/2025,Lambertland,"Unit 2780 Box 5358, DPO AP 99886",Arson,,Unit 2780 Box 5358,,,DPO AP 99886,,
Isaac Smith,Isaac,,Smith,25/09/1995,22,24/08/2004,Hubbardstad,"Unit 8947 Box 7716, DPO AP 27577",Smuggling,,Unit 8947 Box 7716,,,DPO AP 27577,,
Jonathan White,Jonathan,,White,03/02/1988,55,21/04/1992,Pedrofurt,"37480 Ashley Fields, South Williamburgh, MO 64491",Forgery,,,37480,Ashley Fields,South Williamburgh,MO,64491
Ryan Jones,Ryan,,Jones,27/09/1988,27,13/11/2023,Hooverville,"47052 Colin Loaf Apt. 989, Nelsonchester, TN 03367",Assault,Apartment 989,,47052,Colin Loaf,Nelsonchester,TN,03367
